Date,Open,High,Low,Close,Adj Close,Volume
2022-11-24,607.04,609.1,605.93,605.38,605.38,0
2022-11-25,607.04,608.19,603.31,601.88,601.88,0
2022-11-28,606.59,607.5,599.05,597.35,597.35,0
2022-11-29,599.05,603.5,596.81,595.88,595.88,0
2022-11-30,596.81,600.7,596.03,595.38,595.38,0
2022-12-01,596.56,601.79,596.27,597.25,597.25,0
2022-12-02,598.13,604.8,597.75,601.6,601.6,0
2022-12-05,603.09,605.72,602.11,601.6,601.6,0
2022-12-06,604.22,606.0,601.96,600.38,600.38,0
2022-12-07,602.06,604.57,589.75,589.75,589.75,0
2022-12-08,589.75,600.98,586.5,586.5,586.5,0
2022-12-09,586.5,598.5,583.59,579.49,579.49,0
2022-12-12,592.09,592.09,582.82,587.2,587.2,0
2022-12-13,583.59,595.17,582.1,593.03,593.03,0
2022-12-14,593.03,600.07,589.13,594.63,594.63,0
2022-12-15,594.63,600.0,592.6,594.63,594.63,0
2022-12-16,594.63,598.5,583.85,580.95,580.95,0
2022-12-19,590.65,592.0,583.85,581.2,581.2,0
2022-12-20,583.97,589.0,583.84,582.2,582.2,0
2022-12-21,584.47,588.0,583.68,582.2,582.2,0
2022-12-22,584.47,588.0,582.03,580.35,580.35,0
2022-12-23,582.03,587.5,580.88,579.35,579.35,0
2022-12-26,582.13,584.5,580.88,579.28,579.28,0
2022-12-27,580.99,584.5,580.22,579.87,579.87,0
2022-12-28,580.78,587.5,580.46,583.0,583.0,0
2022-12-29,585.3,594.18,584.91,591.36,591.36,0
2022-12-30,591.68,598.08,591.35,591.36,591.36,0
2023-01-02,597.24,598.08,591.68,591.36,591.36,0
